[2025-10-18 05:03:59] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 36 | IP: 192.168.80.7
[2025-10-18 05:03:59] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: Cannot modify header information - headers already sent by (output started at /var/www/html/app/views/partials/header.php:173) in /var/www/html/app/lib/SecurityService.php on line 44 | IP: 192.168.80.7
[2025-10-18 05:03:59] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:04:09] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:06:43] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:06:43] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:06:52] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:06:57] [error] User: Unknown (guest) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:07:05] [info] User: admin (organizer) | Action: login_success | Resource: user | Details: Email/Name: admin@example.com | IP: 192.168.80.7
[2025-10-18 05:07:05] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:07:14] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:07:15] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:07:15] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:08:21] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:08:21] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:08:24] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:08:24] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:08:26] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
[2025-10-18 05:08:42] [error] User: admin (organizer) | Action: php_error | Resource: system | Details: Warning: filemtime(): stat failed for /var/www/html/app/views/partials/../../public/assets/css/style.css in /var/www/html/app/views/partials/layout.php on line 8 | IP: 192.168.80.7
